Verloskundige Praktijk Papendrecht,Verloskundige zorg,"Poldermolen 2, Papendrecht",078-6412222,http://www.verloskundigepapendrecht.nl
Verloskundige Praktijk Meerssen e.o.,Organisatie,"Stationstraat 3, Meerssen",043-3642570,http://www.verloskundigepraktijkmeerssen.nl
Verloskundige praktijk Hendrik-Ido-Ambacht,Verloskundige zorg,"Hoogtstraat 6, Hendrik-Ido-Ambacht",078-7400070,https://www.verloskundige-hiambacht.nl/
Verloskundige praktijk ISIS,Verloskundige zorg,"Akerstraat Noord 74, Hoensbroek",06-23581505,http://www.verloskundige-isis.nl
Verloskundige praktijk Lilian Custers,Verloskundige zorg,"Frisostraat 21, Grathem",0475-452942,http://www.liliancusters.nl
Verloskundige Praktijk De Toekomst Geldermalsen,Verloskundige zorg,"Rijksstraatweg 64-11, Geldermalsen",0345-473963,http://www.vpdetoekomst.nl
"Verloskundige praktijk De Eerste Stap, locatie Almere Stad",Verloskundige zorg,"Bartokweg 161, Almere",036-5400266,http://www.verloskundigedeeerstestap.nl
Verpleegkundige Zorg Praktijk,Wijkverpleging,"Van Musschenbroekstraat 11, Elsendorp",06-22311912,http://www.verpleegkundigezorgpraktijk.nl
Vida Verloskunde Zaltbommel,Verloskundige zorg,"Wielkamp 2, Zaltbommel",06-36240252,https://vidaverloskunde.nl/
Vesal Tandartspraktijk Woensel Noord,Mondzorg,"Lohengrinlaan 17, Eindhoven",040-2926805,
Villa ExpertCare Rijswijk,Medische kindzorg,"Huis te Landelaan 9 11, Rijswijk",070-3367933,https://expertcare.nl/villa-expertcare/villa-expertcare-rijswijk/
"Vijf Meren Kliniek, locatie Hoofddorp",Medisch specialistische zorg,"Spaarnepoort 1, Hoofddorp",023-2248422,http://www.vijfmerenkliniek.nl
Vijf Meren Kliniek,Organisatie,"Spaarnepoort 1, Hoofddorp",023-2248422,https://www.vijfmerenkliniek.nl
"Verloskundige Praktijk De NieuweLinge, locatie Arkel",Verloskundige zorg,"Raadhuisplein 1, Arkel",06-23717030,https://denieuwelinge.nl/
"Vesta Twente, locatie Vondersweijde",Fysiotherapie,"Ada Kokstraat 20, Oldenzaal",0541-700202,https://vestatwente.nl/
Vesta Twente,Organisatie,"Stationsplein 2, Oldenzaal",0541-700202,https://vestatwente.nl/
"Vierstroom Zorg Thuis, Wijkteam Bergschenhoek",Wijkverpleging,"Tjeerd Kuipersstraat 7, Bergschenhoek",088-0444888,http://www.vierstroom.nl
"Visser Contactlenzen, locatie Elst - Rijnstate Elst",Optometrie,"Stationsplein 2, Elst",088-9008080,https://www.vissercontactlenzen.nl
"Verloskundige Praktijk Meerssen e.o., locatie Meerssen",Verloskundige zorg,"Stationstraat 3, Meerssen",043-3642570,http://www.verloskundigepraktijkmeerssen.nl
Visie,Geestelijke gezondheidszorg,"Veenweg 1, Deventer",0570-606666,http://www.visie-psychologie.nl
"Voetencentrum Wender, Gouda Goverwelle",Podotherapie,"Middenmolenplein 1, Gouda",088-4547700,https://podotherapeut.nl/
Voeding Weert,Organisatie,"Bocholterweg 6, Weert",0495-522211,http://www.voedingweert.nl
"Voedings- en dieetadviespraktijk Annemiek van Prooijen, locatie Huisartsenpraktijk Stadshart",Diëtetiek,"Adriaan van Bergenstraat 224-226, Breda",06-24481334,http://www.dietistinbreda.nl
"Voetencentrum Wender, Amsterdam Gein",Podotherapie,"Wisseloordplein 50, Amsterdam",088-4547700,http://www.podotherapeut.nl
"Voedingsbureau Carin Pool, locatie Groningen, DC Klinieken",Diëtetiek,"Geulstraat 37, Groningen",06-14520397,https://www.carinpool.nl/
"Visser Contactlenzen, locatie Geldrop - St. Anna Ziekenhuis",Optometrie,"Bogardeind 2, Geldrop",088-9008080,https://www.vissercontactlenzen.nl/
"Voeding Weert, locatie Weert",Diëtetiek,"Bocholterweg 6, Weert",0495-522211,http://www.voedingweert.nl
"Voetencentrum Wender, Dwingeloo",Podotherapie,"Entingheweg 18 A, Dwingeloo",088-4547700,http://www.podotherapeut.nl
"Voetencentrum Wender, Soesterberg",Podotherapie,"Rademakerstraat 93, Soesterberg",088-4547700,https://podotherapeut.nl
VitiFysio,Fysiotherapie,"Ferdinand Bolstraat 45, Venlo",06-23678837,https://www.vitifysio.nl/
"Voetencentrum Wender, Amsterdam Reigersbos",Podotherapie,"Schonerwoerdstraat 7, Amsterdam",088-4547700,https://podotherapeut.nl
"Visser Contactlenzen, locatie Weert - St. Jans Gasthuis",Optometrie,"Vogelsbleek 5, Weert",088-9008080,https://www.vissercontactlenzen.nl/
VIVE Huidtherapie,Huidtherapie,"Zwaaikom 9, Katwijk",06-15647126,https://www.vivehuidtherapie.nl/
"Visser Contactlenzen, locatie Hoogeveen - Bergman Clinics Ogen",Optometrie,"Markt 1-01, Hoogeveen",088-9008080,https://www.vissercontactlenzen.nl/
"Visser Contactlenzen, locatie Nijmegen - Radboudumc",Optometrie,"Geert Grooteplaien Zuid 10, Nijmegen",088-9008080,https://www.vissercontactlenzen.nl/
"Voetencentrum Wender, Lelystad Warande",Podotherapie,"Haagwinde 8, Lelystad",088-4547700,https://podotherapeut.nl
"Voetencentrum Wender, Gaanderen",Podotherapie,"Hoofdstraat 41, Gaanderen",088-4547700,https://podotherapeut.nl
"Voetencentrum Wender, Hardenberg Marslanden",Podotherapie,"De Schans 7, Hardenberg",088-4547700,https://www.podotherapeut.nl
"Voetencentrum Wender, Oss Borgvliet",Podotherapie,"Borgvliet 18, Oss",088-4547700,https://podotherapeut.nl/
"Voetencentrum Wender, Neede",Podotherapie,"Buizerdstraat 1 B, Neede",088-4547700,http://www.podotherapeut.nl
